"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: FiveWs Pattern Mapping","Mapping: IDMP Mapping","Mapping: RIM Mapping"
"PackagedProductDefinition","PackagedProductDefinition","","","",0,*,"","","","null {[]} {[]}
","A medically related item or items, in a container or package","A medically related item or items, in a container or package.","","","","","","","","","",,,,,"",,,,"PackagedProductDefinition",0,*,"","","administrative.medication","Packaged Medicinal Product","Entity, Role, or Act"
"PackagedProductDefinition.id","PackagedProductDefinition.id","","","",0,1,"","","Y","id {[]} {[]}
","Logical id of this artifact","The logical id of the resource, as used in the URL for the resource. Once assigned, this value never changes.","Within the context of the FHIR RESTful interactions, the resource has an id except for cases like the create and conditional update. Otherwise, the use of the resouce id depends on the given use case.","","","","","","","","",,,,,"",,,,"Resource.id",0,1,"",""
"PackagedProductDefinition.meta","PackagedProductDefinition.meta","","","",0,1,"","","Y","Meta {[]} {[]}
","Metadata about the resource","The metadata about the resource. This is content that is maintained by the infrastructure. Changes to the content might not always be associated with version changes to the resource.","","","","","","","","","",,,,,"",,,,"Resource.meta",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"PackagedProductDefinition.packaging.material","PackagedProductDefinition.packaging.material","","","",0,*,"","","Y","CodeableConcept {[]} {[]}
","Material type of the package item","EMA IG 4.8.7","","","","","","","","","",,"example","A material used in the construction of packages and their components.","http://hl7.org/fhir/ValueSet/package-material","",,,,"PackagedProductDefinition.packaging.material",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Package Item (Container).Material"
"PackagedProductDefinition.packaging.alternateMaterial","PackagedProductDefinition.packaging.alternateMaterial","","","",0,*,"","","Y","CodeableConcept {[]} {[]}
","A possible alternate material for this part of the packaging, that is allowed to be used instead of the usual material","A possible alternate material for this part of the packaging, that is allowed to be used instead of the usual material (e.g. different types of plastic for a blister sleeve).","","","","","","","","","",,"example","A material used in the construction of packages and their components.","http://hl7.org/fhir/ValueSet/package-material","",,,,"PackagedProductDefinition.packaging.alternateMaterial",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Package Item (Container).Alternate Material"
"PackagedProductDefinition.packaging.shelfLifeStorage","PackagedProductDefinition.packaging.shelfLifeStorage","","","",0,*,"","","Y","ProductShelfLife {[]} {[]}
","Shelf Life and storage information","Shelf Life and storage information.","","","","","","","","","",,,,,"",,,,"PackagedProductDefinition.packaging.shelfLifeStorage",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Package Item (Container).Shelf Life / Storage"
"PackagedProductDefinition.packaging.manufacturer","PackagedProductDefinition.packaging.manufacturer","","","",0,*,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Organization]]}
","Manufacturer of this packaging item (multiple means these are all potential manufacturers)","Manufacturer of this packaging item. When there are multiple values each one is a potential manufacturer of this packaging item.","","","","","","","","","",,,,,"",,,,"PackagedProductDefinition.packaging.manufacturer",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Package Item (Container).Manufacturer / Establishment (Organisation)"
"PackagedProductDefinition.packaging.property","PackagedProductDefinition.packaging.property","","","",0,*,"","","Y","BackboneElement {[]} {[]}
","General characteristics of this item","General characteristics of this item.","","","","","","","","","",,,,,"",,,,"PackagedProductDefinition.packaging.property",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Package Item (Container).Physical Characteristics"
"PackagedProductDefinition.packaging.property.id","PackagedProductDefinition.packaging.property.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
","","n/a"
"PackagedProductDefinition.packaging.property.extension","PackagedProductDefinition.packaging.property.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"PackagedProductDefinition.packaging.property.modifierExtension","PackagedProductDefinition.packaging.property.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R5/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"PackagedProductDefinition.packaging.property.type","PackagedProductDefinition.packaging.property.type","","","",1,1,"","","Y","CodeableConcept {[]} {[]}
","A code expressing the type of characteristic","A code expressing the type of characteristic.","","","","","","","","","",,"example","This value set includes all observable entity codes from SNOMED CT - provided as an exemplar value set.","http://hl7.org/fhir/ValueSet/product-characteristic-codes","",,,,"PackagedProductDefinition.packaging.property.type",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Physical Characteristics, all attributes"
"PackagedProductDefinition.packaging.property.value[x]","PackagedProductDefinition.packaging.property.value[x]","","","",0,1,"","","Y","CodeableConcept {[]} {[]}
Quantity {[]} {[]}date {[]} {[]}boolean {[]} {[]}Attachment {[]} {[]}","A value for the characteristic","A value for the characteristic.","","","","","","","","","",,,,,"",,,,"PackagedProductDefinition.packaging.property.value[x]",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Physical Characteristics, attribute's value"
"PackagedProductDefinition.packaging.containedItem","PackagedProductDefinition.packaging.containedItem","","","",0,*,"","","Y","BackboneElement {[]} {[]}
","An item (inner package or manufactured item) within the packaging","EMA IG 4.9 or 4.8.3","","","","","","","","","",,,,,"",,,,"PackagedProductDefinition.packaging.containedItem",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Package Item (Container).Manufactured Item, Package Item (Container).Device"
"PackagedProductDefinition.packaging.containedItem.id","PackagedProductDefinition.packaging.containedItem.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
","","n/a"
"PackagedProductDefinition.packaging.containedItem.extension","PackagedProductDefinition.packaging.containedItem.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"PackagedProductDefinition.packaging.containedItem.modifierExtension","PackagedProductDefinition.packaging.containedItem.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R5/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"PackagedProductDefinition.packaging.containedItem.item","PackagedProductDefinition.packaging.containedItem.item","","","",1,1,"","","Y","CodeableReference {[]} {[CanonicalType[http://unicom-project.eu/fhir/StructureDefinition/TransitionPackagedProductDefinition], CanonicalType[http://unicom-project.eu/fhir/StructureDefinition/TransitionManufacturedItemDefinition]]}
","The actual item(s) of medication, as manufactured, or a device, or other medically related item (food, biologicals, raw materials, medical fluids, gases etc.), as contained in the package","The actual item(s) of medication, as manufactured, or a device (typically, but not necessarily, a co-packaged one), or other medically related item (such as food, biologicals, raw materials, medical fluids, gases etc.), as contained in the package. This also allows another whole packaged product to be included, which is solely for the case where a package of other entire packages is wanted - such as a wholesale or distribution pack (for layers within one package, use PackagedProductDefinition.packaging.packaging).","","","","","","","","","",,,,,"",,,,"PackagedProductDefinition.packaging.containedItem.item",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","(the link to) Package Item (Container).Manufactured Item, Package Item (Container).Device"
"PackagedProductDefinition.packaging.containedItem.amount","PackagedProductDefinition.packaging.containedItem.amount","","","",0,1,"","","Y","Quantity {[]} {[]}
","Number of the manufactured items (e.g. tablets) in this package layer or the amount of manufactured item (e.g. 20 g) in the unit of presentation defined in manufactured item definition","EMA IG 4.11.2","","","","","","","","","",,,,,"",,,,"PackagedProductDefinition.packaging.containedItem.amount",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Manufactured Item.Manufactured Item Quantity"
"PackagedProductDefinition.packaging.packaging","PackagedProductDefinition.packaging.packaging","","","",0,*,"","","Y","null {[]} {[]}
","Allows containers (and parts of containers) within containers, still as a part of single packaged product","Allows containers (and parts of containers) within containers, still as a part of a single packaged product. See also PackagedProductDefinition.packaging.containedItem.item(PackagedProductDefinition).","","","","","","","","","",,,,,"",,,,"PackagedProductDefinition.packaging.packaging",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","(link from Package Item (Container) to itself)"
"PackagedProductDefinition.characteristic","PackagedProductDefinition.characteristic","","","",0,*,"","","Y","null {[]} {[]}
","Allows the key features to be recorded, such as ""hospital pack"", ""nurse prescribable""","Allows the key features to be recorded, such as ""hospital pack"", ""nurse prescribable"", ""calendar pack"".","","","","","","","","","",,,,,"",,,,"PackagedProductDefinition.characteristic",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","n/a"
